escenario,tanda,primero,algoritmo,ordenamientos,total_ns,ms_por_ordenamiento
mezclado,1,MergeSort,MergeSort,10000,6255800,0.000625580
mezclado,1,MergeSort,Insercion,10000,4626800,0.000462680
mezclado,2,Insercion,MergeSort,10000,6716500,0.000671650
mezclado,2,Insercion,Insercion,10000,4057000,0.000405700
mezclado,3,MergeSort,MergeSort,10000,7304100,0.000730410
mezclado,3,MergeSort,Insercion,10000,6781000,0.000678100
mezclado,4,Insercion,MergeSort,10000,6317200,0.000631720
mezclado,4,Insercion,Insercion,10000,3880300,0.000388030
mezclado,5,MergeSort,MergeSort,10000,6534900,0.000653490
mezclado,5,MergeSort,Insercion,10000,5296200,0.000529620
mezclado,6,Insercion,MergeSort,10000,6301200,0.000630120
mezclado,6,Insercion,Insercion,10000,5831000,0.000583100
mezclado,7,MergeSort,MergeSort,10000,5767200,0.000576720
mezclado,7,MergeSort,Insercion,10000,4827400,0.000482740
mezclado,8,Insercion,MergeSort,10000,8021600,0.000802160
mezclado,8,Insercion,Insercion,10000,4464600,0.000446460
mezclado,9,MergeSort,MergeSort,10000,6881300,0.000688130
mezclado,9,MergeSort,Insercion,10000,4920500,0.000492050
mezclado,10,Insercion,MergeSort,10000,8976500,0.000897650
mezclado,10,Insercion,Insercion,10000,4399900,0.000439990
mezclado,11,MergeSort,MergeSort,10000,6929700,0.000692970
mezclado,11,MergeSort,Insercion,10000,4611400,0.000461140
mezclado,12,Insercion,MergeSort,10000,7187800,0.000718780
mezclado,12,Insercion,Insercion,10000,4783200,0.000478320
mezclado,13,MergeSort,MergeSort,10000,7521900,0.000752190
mezclado,13,MergeSort,Insercion,10000,4741200,0.000474120
mezclado,14,Insercion,MergeSort,10000,6095700,0.000609570
mezclado,14,Insercion,Insercion,10000,3805000,0.000380500
mezclado,15,MergeSort,MergeSort,10000,8381100,0.000838110
mezclado,15,MergeSort,Insercion,10000,4307400,0.000430740
mezclado,16,Insercion,MergeSort,10000,6317600,0.000631760
